5 Minutes,Lane 1 Flow (Veh/5 Minutes),# Lane Points,% Observed,SCATS
01/10/2006 22:00,54,1,100,3682
01/10/2006 22:15,37,1,100,3682
01/10/2006 22:30,43,1,100,3682
01/10/2006 22:45,27,1,100,3682
01/10/2006 23:00,26,1,100,3682
01/10/2006 23:15,14,1,100,3682
01/10/2006 23:30,14,1,100,3682
01/10/2006 23:45,9,1,100,3682
02/10/2006 00:00,11,1,100,3682
02/10/2006 00:15,6,1,100,3682
02/10/2006 00:30,5,1,100,3682
02/10/2006 00:45,5,1,100,3682
02/10/2006 01:00,4,1,100,3682
02/10/2006 01:15,8,1,100,3682
02/10/2006 01:30,6,1,100,3682
02/10/2006 01:45,5,1,100,3682
02/10/2006 02:00,5,1,100,3682
02/10/2006 02:15,6,1,100,3682
02/10/2006 02:30,5,1,100,3682
02/10/2006 02:45,1,1,100,3682
02/10/2006 03:00,3,1,100,3682
02/10/2006 03:15,5,1,100,3682
02/10/2006 03:30,4,1,100,3682
02/10/2006 03:45,2,1,100,3682
02/10/2006 04:00,5,1,100,3682
02/10/2006 04:15,8,1,100,3682
02/10/2006 04:30,6,1,100,3682
02/10/2006 04:45,7,1,100,3682
02/10/2006 05:00,17,1,100,3682
02/10/2006 05:15,15,1,100,3682
02/10/2006 05:30,34,1,100,3682
02/10/2006 05:45,28,1,100,3682
02/10/2006 06:00,40,1,100,3682
02/10/2006 06:15,85,1,100,3682
02/10/2006 06:30,117,1,100,3682
02/10/2006 06:45,134,1,100,3682
02/10/2006 07:00,154,1,100,3682
02/10/2006 07:15,196,1,100,3682
02/10/2006 07:30,229,1,100,3682
02/10/2006 07:45,271,1,100,3682
02/10/2006 08:00,254,1,100,3682
02/10/2006 08:15,249,1,100,3682
02/10/2006 08:30,231,1,100,3682
02/10/2006 08:45,215,1,100,3682
02/10/2006 09:00,166,1,100,3682
02/10/2006 09:15,167,1,100,3682
02/10/2006 09:30,146,1,100,3682
02/10/2006 09:45,139,1,100,3682
02/10/2006 10:00,142,1,100,3682
02/10/2006 10:15,130,1,100,3682
02/10/2006 10:30,135,1,100,3682
02/10/2006 10:45,133,1,100,3682
02/10/2006 11:00,113,1,100,3682
02/10/2006 11:15,129,1,100,3682
02/10/2006 11:30,145,1,100,3682
02/10/2006 11:45,141,1,100,3682
02/10/2006 12:00,107,1,100,3682
02/10/2006 12:15,133,1,100,3682
02/10/2006 12:30,104,1,100,3682
02/10/2006 12:45,134,1,100,3682
02/10/2006 13:00,109,1,100,3682
02/10/2006 13:15,129,1,100,3682
02/10/2006 13:30,130,1,100,3682
02/10/2006 13:45,109,1,100,3682
02/10/2006 14:00,132,1,100,3682
02/10/2006 14:15,144,1,100,3682
02/10/2006 14:30,126,1,100,3682
02/10/2006 14:45,123,1,100,3682
02/10/2006 15:00,156,1,100,3682
02/10/2006 15:15,138,1,100,3682
02/10/2006 15:30,167,1,100,3682
02/10/2006 15:45,174,1,100,3682
02/10/2006 16:00,161,1,100,3682
02/10/2006 16:15,150,1,100,3682
02/10/2006 16:30,155,1,100,3682
02/10/2006 16:45,181,1,100,3682
02/10/2006 17:00,197,1,100,3682
02/10/2006 17:15,183,1,100,3682
02/10/2006 17:30,212,1,100,3682
02/10/2006 17:45,195,1,100,3682
02/10/2006 18:00,170,1,100,3682
02/10/2006 18:15,158,1,100,3682
02/10/2006 18:30,108,1,100,3682
02/10/2006 18:45,104,1,100,3682
02/10/2006 19:00,92,1,100,3682
02/10/2006 19:15,92,1,100,3682
02/10/2006 19:30,91,1,100,3682
02/10/2006 19:45,74,1,100,3682
02/10/2006 20:00,64,1,100,3682
02/10/2006 20:15,63,1,100,3682
02/10/2006 20:30,65,1,100,3682
02/10/2006 20:45,53,1,100,3682
02/10/2006 21:00,64,1,100,3682
02/10/2006 21:15,46,1,100,3682
02/10/2006 21:30,61,1,100,3682
02/10/2006 21:45,54,1,100,3682
02/10/2006 22:00,49,1,100,3682
02/10/2006 22:15,47,1,100,3682
02/10/2006 22:30,42,1,100,3682
02/10/2006 22:45,29,1,100,3682
02/10/2006 23:00,37,1,100,3682
02/10/2006 23:15,22,1,100,3682
02/10/2006 23:30,16,1,100,3682
02/10/2006 23:45,13,1,100,3682
03/10/2006 00:00,9,1,100,3682
03/10/2006 00:15,12,1,100,3682
03/10/2006 00:30,4,1,100,3682
03/10/2006 00:45,6,1,100,3682
03/10/2006 01:00,8,1,100,3682
03/10/2006 01:15,4,1,100,3682
03/10/2006 01:30,1,1,100,3682
03/10/2006 01:45,4,1,100,3682
03/10/2006 02:00,4,1,100,3682
03/10/2006 02:15,4,1,100,3682
03/10/2006 02:30,4,1,100,3682
03/10/2006 02:45,2,1,100,3682
03/10/2006 03:00,2,1,100,3682
03/10/2006 03:15,2,1,100,3682
03/10/2006 03:30,4,1,100,3682
03/10/2006 03:45,5,1,100,3682
03/10/2006 04:00,4,1,100,3682
03/10/2006 04:15,5,1,100,3682
03/10/2006 04:30,2,1,100,3682
03/10/2006 04:45,1,1,100,3682
03/10/2006 05:00,13,1,100,3682
03/10/2006 05:15,25,1,100,3682
03/10/2006 05:30,32,1,100,3682
03/10/2006 05:45,49,1,100,3682
03/10/2006 06:00,56,1,100,3682
03/10/2006 06:15,105,1,100,3682
03/10/2006 06:30,141,1,100,3682
03/10/2006 06:45,146,1,100,3682
03/10/2006 07:00,168,1,100,3682
03/10/2006 07:15,201,1,100,3682
03/10/2006 07:30,231,1,100,3682
03/10/2006 07:45,266,1,100,3682
03/10/2006 08:00,274,1,100,3682
03/10/2006 08:15,243,1,100,3682
03/10/2006 08:30,243,1,100,3682
03/10/2006 08:45,198,1,100,3682
03/10/2006 09:00,214,1,100,3682
03/10/2006 09:15,173,1,100,3682
03/10/2006 09:30,182,1,100,3682
03/10/2006 09:45,169,1,100,3682
03/10/2006 10:00,153,1,100,3682
03/10/2006 10:15,139,1,100,3682
03/10/2006 10:30,143,1,100,3682
03/10/2006 10:45,144,1,100,3682
03/10/2006 11:00,131,1,100,3682
03/10/2006 11:15,130,1,100,3682
03/10/2006 11:30,145,1,100,3682
03/10/2006 11:45,142,1,100,3682
03/10/2006 12:00,125,1,100,3682
03/10/2006 12:15,130,1,100,3682
03/10/2006 12:30,124,1,100,3682
03/10/2006 12:45,99,1,100,3682
03/10/2006 13:00,104,1,100,3682
03/10/2006 13:15,145,1,100,3682
03/10/2006 13:30,128,1,100,3682
03/10/2006 13:45,122,1,100,3682
03/10/2006 14:00,114,1,100,3682
03/10/2006 14:15,146,1,100,3682
03/10/2006 14:30,143,1,100,3682
03/10/2006 14:45,120,1,100,3682
03/10/2006 15:00,175,1,100,3682
03/10/2006 15:15,171,1,100,3682
03/10/2006 15:30,152,1,100,3682
03/10/2006 15:45,182,1,100,3682
03/10/2006 16:00,152,1,100,3682
03/10/2006 16:15,175,1,100,3682
03/10/2006 16:30,172,1,100,3682
03/10/2006 16:45,182,1,100,3682
03/10/2006 17:00,164,1,100,3682
03/10/2006 17:15,177,1,100,3682
03/10/2006 17:30,211,1,100,3682
03/10/2006 17:45,183,1,100,3682
03/10/2006 18:00,176,1,100,3682
03/10/2006 18:15,192,1,100,3682
03/10/2006 18:30,123,1,100,3682
03/10/2006 18:45,119,1,100,3682
03/10/2006 19:00,113,1,100,3682
03/10/2006 19:15,119,1,100,3682
03/10/2006 19:30,94,1,100,3682
03/10/2006 19:45,93,1,100,3682
03/10/2006 20:00,79,1,100,3682
03/10/2006 20:15,70,1,100,3682
03/10/2006 20:30,61,1,100,3682
03/10/2006 20:45,66,1,100,3682
03/10/2006 21:00,69,1,100,3682
03/10/2006 21:15,73,1,100,3682
03/10/2006 21:30,71,1,100,3682
03/10/2006 21:45,74,1,100,3682
03/10/2006 22:00,61,1,100,3682
03/10/2006 22:15,54,1,100,3682
03/10/2006 22:30,40,1,100,3682
03/10/2006 22:45,48,1,100,3682
03/10/2006 23:00,38,1,100,3682
03/10/2006 23:15,23,1,100,3682
03/10/2006 23:30,17,1,100,3682
03/10/2006 23:45,14,1,100,3682
04/10/2006 00:00,16,1,100,3682
04/10/2006 00:15,9,1,100,3682
04/10/2006 00:30,7,1,100,3682
04/10/2006 00:45,8,1,100,3682
04/10/2006 01:00,2,1,100,3682
04/10/2006 01:15,5,1,100,3682
04/10/2006 01:30,5,1,100,3682
04/10/2006 01:45,3,1,100,3682
04/10/2006 02:00,0,1,100,3682
04/10/2006 02:15,5,1,100,3682
04/10/2006 02:30,10,1,100,3682
04/10/2006 02:45,2,1,100,3682
04/10/2006 03:00,2,1,100,3682
04/10/2006 03:15,2,1,100,3682
04/10/2006 03:30,5,1,100,3682
04/10/2006 03:45,4,1,100,3682
04/10/2006 04:00,4,1,100,3682
04/10/2006 04:15,6,1,100,3682
04/10/2006 04:30,4,1,100,3682
04/10/2006 04:45,5,1,100,3682
04/10/2006 05:00,12,1,100,3682
04/10/2006 05:15,18,1,100,3682
04/10/2006 05:30,34,1,100,3682
04/10/2006 05:45,40,1,100,3682
04/10/2006 06:00,59,1,100,3682
04/10/2006 06:15,102,1,100,3682
04/10/2006 06:30,115,1,100,3682
04/10/2006 06:45,132,1,100,3682
04/10/2006 07:00,175,1,100,3682
04/10/2006 07:15,192,1,100,3682
04/10/2006 07:30,227,1,100,3682
04/10/2006 07:45,264,1,100,3682
04/10/2006 08:00,227,1,100,3682
04/10/2006 08:15,236,1,100,3682
04/10/2006 08:30,235,1,100,3682
04/10/2006 08:45,210,1,100,3682
04/10/2006 09:00,184,1,100,3682
04/10/2006 09:15,181,1,100,3682
04/10/2006 09:30,176,1,100,3682
04/10/2006 09:45,145,1,100,3682
04/10/2006 10:00,138,1,100,3682
04/10/2006 10:15,134,1,100,3682
04/10/2006 10:30,143,1,100,3682
04/10/2006 10:45,132,1,100,3682
04/10/2006 11:00,138,1,100,3682
04/10/2006 11:15,135,1,100,3682
04/10/2006 11:30,125,1,100,3682
04/10/2006 11:45,135,1,100,3682
04/10/2006 12:00,120,1,100,3682
04/10/2006 12:15,159,1,100,3682
04/10/2006 12:30,128,1,100,3682
04/10/2006 12:45,140,1,100,3682
04/10/2006 13:00,132,1,100,3682
04/10/2006 13:15,119,1,100,3682
04/10/2006 13:30,133,1,100,3682
04/10/2006 13:45,141,1,100,3682
04/10/2006 14:00,121,1,100,3682
04/10/2006 14:15,131,1,100,3682
04/10/2006 14:30,156,1,100,3682
04/10/2006 14:45,153,1,100,3682
04/10/2006 15:00,155,1,100,3682
04/10/2006 15:15,175,1,100,3682
04/10/2006 15:30,165,1,100,3682
04/10/2006 15:45,165,1,100,3682
04/10/2006 16:00,159,1,100,3682
04/10/2006 16:15,173,1,100,3682
04/10/2006 16:30,178,1,100,3682
04/10/2006 16:45,165,1,100,3682
04/10/2006 17:00,152,1,100,3682
04/10/2006 17:15,187,1,100,3682
04/10/2006 17:30,217,1,100,3682
04/10/2006 17:45,183,1,100,3682
04/10/2006 18:00,184,1,100,3682
04/10/2006 18:15,170,1,100,3682
04/10/2006 18:30,139,1,100,3682
04/10/2006 18:45,119,1,100,3682
04/10/2006 19:00,129,1,100,3682
04/10/2006 19:15,100,1,100,3682
04/10/2006 19:30,87,1,100,3682
04/10/2006 19:45,79,1,100,3682
04/10/2006 20:00,73,1,100,3682
04/10/2006 20:15,50,1,100,3682
04/10/2006 20:30,55,1,100,3682
04/10/2006 20:45,61,1,100,3682
04/10/2006 21:00,80,1,100,3682
04/10/2006 21:15,77,1,100,3682
04/10/2006 21:30,78,1,100,3682
04/10/2006 21:45,47,1,100,3682
04/10/2006 22:00,68,1,100,3682
04/10/2006 22:15,45,1,100,3682
04/10/2006 22:30,49,1,100,3682
04/10/2006 22:45,32,1,100,3682
04/10/2006 23:00,36,1,100,3682
04/10/2006 23:15,36,1,100,3682
04/10/2006 23:30,28,1,100,3682
04/10/2006 23:45,13,1,100,3682
05/10/2006 00:00,26,1,100,3682
05/10/2006 00:15,11,1,100,3682
05/10/2006 00:30,9,1,100,3682
05/10/2006 00:45,5,1,100,3682
05/10/2006 01:00,4,1,100,3682
05/10/2006 01:15,5,1,100,3682
05/10/2006 01:30,10,1,100,3682
05/10/2006 01:45,6,1,100,3682
05/10/2006 02:00,3,1,100,3682
05/10/2006 02:15,4,1,100,3682
05/10/2006 02:30,3,1,100,3682
05/10/2006 02:45,0,1,100,3682
05/10/2006 03:00,1,1,100,3682
05/10/2006 03:15,0,1,100,3682
05/10/2006 03:30,7,1,100,3682
05/10/2006 03:45,1,1,100,3682
05/10/2006 04:00,10,1,100,3682
05/10/2006 04:15,8,1,100,3682
05/10/2006 04:30,5,1,100,3682
05/10/2006 04:45,11,1,100,3682
05/10/2006 05:00,14,1,100,3682
05/10/2006 05:15,15,1,100,3682
05/10/2006 05:30,30,1,100,3682
05/10/2006 05:45,41,1,100,3682
05/10/2006 06:00,62,1,100,3682
05/10/2006 06:15,97,1,100,3682
05/10/2006 06:30,126,1,100,3682
05/10/2006 06:45,138,1,100,3682
05/10/2006 07:00,165,1,100,3682
05/10/2006 07:15,206,1,100,3682
05/10/2006 07:30,211,1,100,3682
05/10/2006 07:45,230,1,100,3682
05/10/2006 08:00,255,1,100,3682
05/10/2006 08:15,254,1,100,3682
05/10/2006 08:30,242,1,100,3682
05/10/2006 08:45,185,1,100,3682
05/10/2006 09:00,220,1,100,3682
05/10/2006 09:15,195,1,100,3682
05/10/2006 09:30,169,1,100,3682
05/10/2006 09:45,161,1,100,3682
05/10/2006 10:00,139,1,100,3682
05/10/2006 10:15,142,1,100,3682
05/10/2006 10:30,165,1,100,3682
05/10/2006 10:45,137,1,100,3682
05/10/2006 11:00,144,1,100,3682
05/10/2006 11:15,163,1,100,3682
05/10/2006 11:30,161,1,100,3682
05/10/2006 11:45,137,1,100,3682
05/10/2006 12:00,143,1,100,3682
05/10/2006 12:15,150,1,100,3682
05/10/2006 12:30,139,1,100,3682
05/10/2006 12:45,140,1,100,3682
05/10/2006 13:00,126,1,100,3682
05/10/2006 13:15,132,1,100,3682
05/10/2006 13:30,141,1,100,3682
05/10/2006 13:45,162,1,100,3682
05/10/2006 14:00,136,1,100,3682
05/10/2006 14:15,145,1,100,3682
05/10/2006 14:30,130,1,100,3682
05/10/2006 14:45,126,1,100,3682
05/10/2006 15:00,159,1,100,3682
05/10/2006 15:15,178,1,100,3682
05/10/2006 15:30,185,1,100,3682
05/10/2006 15:45,176,1,100,3682
05/10/2006 16:00,200,1,100,3682
05/10/2006 16:15,186,1,100,3682
05/10/2006 16:30,188,1,100,3682
05/10/2006 16:45,167,1,100,3682
05/10/2006 17:00,199,1,100,3682
05/10/2006 17:15,200,1,100,3682
05/10/2006 17:30,218,1,100,3682
05/10/2006 17:45,226,1,100,3682
05/10/2006 18:00,184,1,100,3682
05/10/2006 18:15,177,1,100,3682
05/10/2006 18:30,153,1,100,3682
05/10/2006 18:45,117,1,100,3682
05/10/2006 19:00,134,1,100,3682
05/10/2006 19:15,132,1,100,3682
05/10/2006 19:30,105,1,100,3682
05/10/2006 19:45,85,1,100,3682
05/10/2006 20:00,90,1,100,3682
05/10/2006 20:15,75,1,100,3682
05/10/2006 20:30,72,1,100,3682
05/10/2006 20:45,64,1,100,3682
05/10/2006 21:00,66,1,100,3682
05/10/2006 21:15,93,1,100,3682
05/10/2006 21:30,76,1,100,3682
05/10/2006 21:45,70,1,100,3682
05/10/2006 22:00,56,1,100,3682
05/10/2006 22:15,54,1,100,3682
05/10/2006 22:30,56,1,100,3682
05/10/2006 22:45,39,1,100,3682
05/10/2006 23:00,28,1,100,3682
05/10/2006 23:15,13,1,100,3682
05/10/2006 23:30,24,1,100,3682
05/10/2006 23:45,12,1,100,3682
06/10/2006 00:00,17,1,100,3682
06/10/2006 00:15,14,1,100,3682
06/10/2006 00:30,9,1,100,3682
06/10/2006 00:45,7,1,100,3682
06/10/2006 01:00,13,1,100,3682
06/10/2006 01:15,7,1,100,3682
06/10/2006 01:30,4,1,100,3682
06/10/2006 01:45,9,1,100,3682
06/10/2006 02:00,4,1,100,3682
06/10/2006 02:15,3,1,100,3682
06/10/2006 02:30,3,1,100,3682
06/10/2006 02:45,4,1,100,3682
06/10/2006 03:00,2,1,100,3682
06/10/2006 03:15,6,1,100,3682
06/10/2006 03:30,7,1,100,3682
06/10/2006 03:45,1,1,100,3682
06/10/2006 04:00,5,1,100,3682
06/10/2006 04:15,10,1,100,3682
06/10/2006 04:30,11,1,100,3682
06/10/2006 04:45,3,1,100,3682
06/10/2006 05:00,10,1,100,3682
06/10/2006 05:15,18,1,100,3682
06/10/2006 05:30,30,1,100,3682
06/10/2006 05:45,37,1,100,3682
06/10/2006 06:00,44,1,100,3682
06/10/2006 06:15,103,1,100,3682
06/10/2006 06:30,129,1,100,3682
06/10/2006 06:45,140,1,100,3682
06/10/2006 07:00,167,1,100,3682
06/10/2006 07:15,204,1,100,3682
06/10/2006 07:30,235,1,100,3682
06/10/2006 07:45,188,1,100,3682
06/10/2006 08:00,208,1,100,3682
06/10/2006 08:15,265,1,100,3682
06/10/2006 08:30,229,1,100,3682
06/10/2006 08:45,191,1,100,3682
06/10/2006 09:00,147,1,100,3682
06/10/2006 09:15,216,1,100,3682
06/10/2006 09:30,153,1,100,3682
06/10/2006 09:45,165,1,100,3682
06/10/2006 10:00,162,1,100,3682
06/10/2006 10:15,171,1,100,3682
06/10/2006 10:30,141,1,100,3682
06/10/2006 10:45,148,1,100,3682
06/10/2006 11:00,142,1,100,3682
06/10/2006 11:15,154,1,100,3682
06/10/2006 11:30,177,1,100,3682
06/10/2006 11:45,161,1,100,3682
06/10/2006 12:00,154,1,100,3682
06/10/2006 12:15,166,1,100,3682
06/10/2006 12:30,125,1,100,3682
06/10/2006 12:45,155,1,100,3682
06/10/2006 13:00,136,1,100,3682
06/10/2006 13:15,131,1,100,3682
06/10/2006 13:30,156,1,100,3682
06/10/2006 13:45,143,1,100,3682
06/10/2006 14:00,132,1,100,3682
06/10/2006 14:15,146,1,100,3682
06/10/2006 14:30,150,1,100,3682
06/10/2006 14:45,157,1,100,3682
06/10/2006 15:00,170,1,100,3682
06/10/2006 15:15,132,1,100,3682
06/10/2006 15:30,182,1,100,3682
06/10/2006 15:45,154,1,100,3682
06/10/2006 16:00,188,1,100,3682
06/10/2006 16:15,172,1,100,3682
06/10/2006 16:30,172,1,100,3682
06/10/2006 16:45,175,1,100,3682
06/10/2006 17:00,187,1,100,3682
06/10/2006 17:15,194,1,100,3682
06/10/2006 17:30,207,1,100,3682
06/10/2006 17:45,192,1,100,3682
06/10/2006 18:00,186,1,100,3682
06/10/2006 18:15,177,1,100,3682
06/10/2006 18:30,172,1,100,3682
06/10/2006 18:45,170,1,100,3682
06/10/2006 19:00,161,1,100,3682
06/10/2006 19:15,130,1,100,3682
06/10/2006 19:30,125,1,100,3682
06/10/2006 19:45,101,1,100,3682
06/10/2006 20:00,78,1,100,3682
06/10/2006 20:15,73,1,100,3682
06/10/2006 20:30,77,1,100,3682
06/10/2006 20:45,71,1,100,3682
06/10/2006 21:00,79,1,100,3682
06/10/2006 21:15,66,1,100,3682
06/10/2006 21:30,73,1,100,3682
06/10/2006 21:45,56,1,100,3682
06/10/2006 22:00,74,1,100,3682
06/10/2006 22:15,59,1,100,3682
06/10/2006 22:30,56,1,100,3682
06/10/2006 22:45,47,1,100,3682
06/10/2006 23:00,59,1,100,3682
06/10/2006 23:15,49,1,100,3682
06/10/2006 23:30,44,1,100,3682
06/10/2006 23:45,44,1,100,3682
07/10/2006 00:00,24,1,100,3682
07/10/2006 00:15,34,1,100,3682
07/10/2006 00:30,28,1,100,3682
07/10/2006 00:45,31,1,100,3682
07/10/2006 01:00,11,1,100,3682
07/10/2006 01:15,19,1,100,3682
07/10/2006 01:30,14,1,100,3682
07/10/2006 01:45,9,1,100,3682
07/10/2006 02:00,5,1,100,3682
07/10/2006 02:15,12,1,100,3682
07/10/2006 02:30,12,1,100,3682
07/10/2006 02:45,8,1,100,3682
07/10/2006 03:00,10,1,100,3682
07/10/2006 03:15,7,1,100,3682
07/10/2006 03:30,6,1,100,3682
07/10/2006 03:45,13,1,100,3682
07/10/2006 04:00,12,1,100,3682
07/10/2006 04:15,8,1,100,3682
07/10/2006 04:30,6,1,100,3682
07/10/2006 04:45,8,1,100,3682
07/10/2006 05:00,9,1,100,3682
07/10/2006 05:15,17,1,100,3682
07/10/2006 05:30,22,1,100,3682
07/10/2006 05:45,21,1,100,3682
07/10/2006 06:00,28,1,100,3682
07/10/2006 06:15,44,1,100,3682
07/10/2006 06:30,63,1,100,3682
07/10/2006 06:45,62,1,100,3682
07/10/2006 07:00,55,1,100,3682
07/10/2006 07:15,76,1,100,3682
07/10/2006 07:30,71,1,100,3682
07/10/2006 07:45,79,1,100,3682
07/10/2006 08:00,96,1,100,3682
07/10/2006 08:15,130,1,100,3682
07/10/2006 08:30,137,1,100,3682
07/10/2006 08:45,157,1,100,3682
07/10/2006 09:00,138,1,100,3682
07/10/2006 09:15,180,1,100,3682
07/10/2006 09:30,159,1,100,3682
07/10/2006 09:45,175,1,100,3682
07/10/2006 10:00,186,1,100,3682
07/10/2006 10:15,175,1,100,3682
07/10/2006 10:30,192,1,100,3682
07/10/2006 10:45,174,1,100,3682
07/10/2006 11:00,154,1,100,3682
07/10/2006 11:15,207,1,100,3682
07/10/2006 11:30,194,1,100,3682
07/10/2006 11:45,165,1,100,3682
07/10/2006 12:00,188,1,100,3682
07/10/2006 12:15,192,1,100,3682
07/10/2006 12:30,159,1,100,3682
07/10/2006 12:45,170,1,100,3682
07/10/2006 13:00,172,1,100,3682
07/10/2006 13:15,163,1,100,3682
07/10/2006 13:30,166,1,100,3682
07/10/2006 13:45,191,1,100,3682
07/10/2006 14:00,145,1,100,3682
07/10/2006 14:15,156,1,100,3682
07/10/2006 14:30,189,1,100,3682
07/10/2006 14:45,153,1,100,3682
07/10/2006 15:00,158,1,100,3682
07/10/2006 15:15,138,1,100,3682
07/10/2006 15:30,137,1,100,3682
07/10/2006 15:45,136,1,100,3682
07/10/2006 16:00,134,1,100,3682
07/10/2006 16:15,142,1,100,3682
07/10/2006 16:30,125,1,100,3682
07/10/2006 16:45,132,1,100,3682
07/10/2006 17:00,112,1,100,3682
07/10/2006 17:15,146,1,100,3682
07/10/2006 17:30,158,1,100,3682
07/10/2006 17:45,150,1,100,3682
07/10/2006 18:00,163,1,100,3682
07/10/2006 18:15,141,1,100,3682
07/10/2006 18:30,137,1,100,3682
07/10/2006 18:45,135,1,100,3682
07/10/2006 19:00,121,1,100,3682
07/10/2006 19:15,105,1,100,3682
07/10/2006 19:30,104,1,100,3682
07/10/2006 19:45,100,1,100,3682
07/10/2006 20:00,90,1,100,3682
07/10/2006 20:15,71,1,100,3682
07/10/2006 20:30,50,1,100,3682
07/10/2006 20:45,53,1,100,3682
07/10/2006 21:00,59,1,100,3682
07/10/2006 21:15,75,1,100,3682
07/10/2006 21:30,75,1,100,3682
07/10/2006 21:45,80,1,100,3682
07/10/2006 22:00,58,1,100,3682
07/10/2006 22:15,56,1,100,3682
07/10/2006 22:30,61,1,100,3682
07/10/2006 22:45,51,1,100,3682
07/10/2006 23:00,58,1,100,3682
07/10/2006 23:15,65,1,100,3682
07/10/2006 23:30,53,1,100,3682
07/10/2006 23:45,66,1,100,3682
08/10/2006 00:00,49,1,100,3682
08/10/2006 00:15,45,1,100,3682
08/10/2006 00:30,41,1,100,3682
08/10/2006 00:45,29,1,100,3682
08/10/2006 01:00,39,1,100,3682
08/10/2006 01:15,29,1,100,3682
08/10/2006 01:30,30,1,100,3682
08/10/2006 01:45,12,1,100,3682
08/10/2006 02:00,22,1,100,3682
08/10/2006 02:15,6,1,100,3682
08/10/2006 02:30,7,1,100,3682
08/10/2006 02:45,5,1,100,3682
08/10/2006 03:00,7,1,100,3682
08/10/2006 03:15,5,1,100,3682
08/10/2006 03:30,5,1,100,3682
08/10/2006 03:45,6,1,100,3682
08/10/2006 04:00,3,1,100,3682
08/10/2006 04:15,4,1,100,3682
08/10/2006 04:30,9,1,100,3682
08/10/2006 04:45,9,1,100,3682
08/10/2006 05:00,4,1,100,3682
08/10/2006 05:15,9,1,100,3682
08/10/2006 05:30,12,1,100,3682
